Keyword,Country,Traffic
bayesian,China,4400
bayesian,Japan,3600
bayesian,Russia,480
bayesian,Switzerland,1300
analysis,China,4400
analysis,Japan,2900
analysis,Russia,480
analysis,Switzerland,720
statistics,China,4400
statistics,Japan,2900
statistics,Russia,480
statistics,Switzerland,720
markov chain,China,720
markov chain,Japan,2900
markov chain,Russia,390
markov chain,Switzerland,3600
monte carlo,China,2400
monte carlo,Japan,2400
monte carlo,Russia,880
monte carlo,Switzerland,880
simulation,China,2400
simulation,Japan,2400
simulation,Russia,880
simulation,Switzerland,880
data,China,2900
data,Japan,1600
data,Russia,480
data,Switzerland,880
visualization,China,2900
visualization,Japan,1900
visualization,Russia,320
visualization,Switzerland,480
inference,China,2900
inference,Japan,1300
inference,Russia,210
inference,Switzerland,390
statistical,China,1600
statistical,Japan,1600
statistical,Russia,480
statistical,Switzerland,480
analyze,China,1900
analyze,Japan,880
analyze,Russia,210
analyze,Switzerland,590
mining,China,1600
mining,Japan,880
mining,Russia,170
mining,Switzerland,590
tools,China,1600
tools,Japan,1000
tools,Russia,210
tools,Switzerland,320
interpretation,China,1600
interpretation,Japan,880
interpretation,Russia,170
interpretation,Switzerland,320
bayes,China,720
bayes,Japan,720
bayes,Russia,480
bayes,Switzerland,880
analytics,China,880
analytics,Japan,1000
analytics,Russia,210
analytics,Switzerland,260
cleaning,China,590
cleaning,Japan,720
cleaning,Russia,390
cleaning,Switzerland,590
software,China,590
software,Japan,390
software,Russia,260
software,Switzerland,880
business,China,590
business,Japan,320
business,Russia,91
business,Switzerland,170
dataset,China,210
dataset,Japan,320
dataset,Russia,320
dataset,Switzerland,210
probability,China,390
probability,Japan,480
probability,Russia,73
probability,Switzerland,110
theory,China,480
theory,Japan,390
theory,Russia,58
theory,Switzerland,91
diagnostic,China,210
diagnostic,Japan,210
diagnostic,Russia,110
diagnostic,Switzerland,73
frequentist,China,260
frequentist,Japan,170
frequentist,Russia,46
frequentist,Switzerland,73
hypotheses,China,140
hypotheses,Japan,170
hypotheses,Russia,73
hypotheses,Switzerland,140
